time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.31,-0.42,-0.65,-0.73,-3.01,-0.36,0.31,1.44,327
1,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.26,-0.44,-0.65,-0.72,-3.34,-0.56,0.33,0.59,327
2,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.45,-0.65,-0.73,-3.14,-0.47,0.21,2.93,327
3,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.46,-0.63,-0.74,-2.81,-0.05,0.61,8.55,327
4,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.40,-0.44,-0.63,-0.74,-3.40,-0.83,0.25,8.59,327
5,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.40,-0.47,-0.64,-0.69,-3.17,-1.05,-0.33,13.94,327
6,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.31,-0.47,-0.65,-0.75,-3.13,-0.61,-1.80,14.84,327
7,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,14.69,-0.51,-0.65,-0.71,-3.48,-0.21,0.76,11.37,327
8,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.26,-0.40,-0.63,-0.72,-3.15,-1.03,1.89,13.53,327
9,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.31,-0.47,-0.64,-0.71,-3.43,-0.43,1.01,1.86,327
10,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.46,-0.64,-0.69,-3.23,-0.17,0.92,17.47,327
11,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.31,-0.46,-0.66,-0.74,-3.45,0.13,0.93,19.83,327
12,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.46,-0.64,-0.74,-3.31,-0.96,0.50,32.64,327
13,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.26,-0.43,-0.64,-0.72,-3.11,-0.34,0.58,5.77,327
14,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.43,-0.64,-0.74,-2.82,-0.24,-1.81,7.34,327
15,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,16.06,-0.40,-0.57,-0.56,-2.70,-0.18,0.91,7.10,327
16,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.31,-0.43,-0.65,-0.73,-3.16,-0.44,0.48,10.34,327
17,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.44,-0.65,-0.72,-3.14,-0.60,0.43,2.80,327
18,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.26,-0.45,-0.65,-0.75,-3.12,-0.51,0.27,2.25,327
19,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.39,-0.65,-0.72,-3.33,-0.24,-1.92,11.80,327
20,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.43,-0.65,-0.73,-3.03,-0.27,0.69,12.97,327
21,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.35,-0.42,-0.62,-0.71,-3.05,-0.83,0.35,4.48,327
22,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.40,-0.48,-0.61,-0.72,-3.09,-0.11,0.49,7.25,327
23,2,1,1,0,0,0,0,1,0,0,0,38.91,21.99,15.40,-0.44,-0.69,-0.77,-2.71,-0.39,0.31,11.74,327
