time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.36,-0.91,-0.29,-3.14,-0.57,0.50,0.60,2246
1,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.36,-0.91,-0.29,-3.08,-0.46,0.36,0.32,2246
2,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.36,-0.91,-0.29,-3.29,-0.42,0.49,5.57,2246
3,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.30,-0.94,-0.30,-2.76,-0.90,-0.05,21.49,2246
4,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.01,-0.42,-0.86,-0.27,-2.22,-0.04,1.90,18.40,2246
5,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.35,-0.91,-0.31,-3.29,0.79,1.13,25.12,2246
6,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.39,-0.86,-0.28,-5.74,1.88,1.05,27.85,2246
7,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.40,-0.95,-0.27,-4.26,1.94,0.07,23.97,2246
8,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.30,-0.95,-0.27,-3.36,-1.87,0.20,29.13,2246
9,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.32,-0.81,-0.29,-3.17,-0.98,0.42,19.23,2246
10,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.37,-0.93,-0.29,-0.11,-1.05,-1.58,24.50,2246
11,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.45,-0.88,-0.31,-2.82,0.77,0.51,24.09,2246
12,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.33,-0.91,-0.32,-3.12,-0.60,0.18,24.82,2246
13,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.36,-0.91,-0.29,-3.18,-0.44,0.40,2.69,2246
14,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.36,-0.91,-0.29,-2.92,-0.40,0.48,2.53,2246
15,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.37,-0.91,-0.29,-3.19,-0.52,0.44,3.34,2246
16,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.37,-0.91,-0.29,-3.05,-0.39,0.40,2.47,2246
17,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.36,-0.90,-0.29,-3.16,-0.44,0.34,2.04,2246
18,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.01,-0.39,-0.96,-0.31,-2.03,-0.36,0.25,4.10,2246
19,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.38,-0.88,-0.29,-3.58,-0.36,0.44,14.07,2246
20,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.37,-0.88,-0.30,-2.39,-0.30,0.62,1.47,2246
21,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.37,-0.85,-0.28,-2.75,-1.11,-0.16,17.47,2246
22,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.38,-0.92,-0.30,-3.69,0.18,0.50,11.09,2246
23,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.37,-0.91,-0.31,-2.97,-0.26,0.40,14.67,2246
24,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.38,-0.86,-0.28,-3.37,-0.63,0.19,31.81,2246
25,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.11,-0.34,-0.92,-0.30,-3.82,-0.87,0.59,10.16,2246
26,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.33,-0.87,-0.29,-3.53,-0.47,0.42,7.04,2246
27,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.41,-0.92,-0.29,-2.48,-1.88,0.25,15.23,2246
28,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.36,-0.92,-0.28,-3.58,-0.25,0.49,15.40,2246
29,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.06,-0.40,-0.92,-0.29,-2.70,-0.40,0.15,14.32,2246
30,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.15,-0.38,-0.94,-0.27,-3.39,-0.16,0.18,14.43,2246
31,4,1,1,0,0,0,0,0,0,0,0,37.45,22.66,16.01,-0.34,-0.93,-0.31,-3.16,-0.50,0.37,17.63,2246
